,root,model,Season_RA,D,Season_Period,AR,Season_MA,MA,Season_D,test_aic,test_bic,test_rmse,train_bic,train_aic,train_hqic,test_hqic,train_rmse
0,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_3_D_0_Season_Period_2_AR_3_Season_MA_1_Season_D_0_MA_0,3,0,2,3,1,0,0,1620.5724775,1681.04093045,0.942163767627,6015.59139305,5939.74878739,5967.80716436,1644.12619637,1.77456808618
1,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_1_D_0_Season_Period_0_AR_3_Season_MA_0_Season_D_0_MA_1,1,0,0,3,0,1,0,1624.41596308,1684.88441603,0.975235481803,6017.6180644,5941.77545873,5969.8338357,1647.96968195,1.77610869642
2,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_3_D_0_Season_Period_0_AR_3_Season_MA_0_Season_D_0_MA_1,3,0,0,3,0,1,0,1624.41596308,1684.88441603,0.975235481803,6017.6180644,5941.77545873,5969.8338357,1647.96968195,1.77610869642
3,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_2_D_0_Season_Period_0_AR_3_Season_MA_0_Season_D_0_MA_1,2,0,0,3,0,1,0,1624.41596308,1684.88441603,0.975235481803,6017.6180644,5941.77545873,5969.8338357,1647.96968195,1.77610869642
4,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_0_D_0_Season_Period_0_AR_3_Season_MA_0_Season_D_0_MA_1,0,0,0,3,0,1,0,1624.41596308,1684.88441603,0.975235481803,6017.6180644,5941.77545873,5969.8338357,1647.96968195,1.77610869642
5,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_1_D_1_Season_Period_12_AR_5_Season_MA_3_Season_D_0_MA_1,1,1,12,5,3,1,0,1641.95230122,1724.01663022,0.990675283931,6018.19821508,5915.26896453,5953.34819042,1673.91806254,1.76197351298
6,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_4_D_1_Season_Period_12_AR_2_Season_MA_4_Season_D_1_MA_2,4,1,12,2,4,2,1,1697.34394711,1775.0891009,0.991029302802,6071.28947901,5973.77755744,6009.85261355,1727.62729994,1.80588454724
7,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_2_D_1_Season_Period_0_AR_3_Season_MA_0_Season_D_0_MA_1,2,1,0,3,0,1,0,1635.86662391,1696.33507686,0.992848685349,5995.66912771,5919.82652205,5947.88489902,1659.42034278,1.77045427575
8,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_1_D_1_Season_Period_0_AR_3_Season_MA_0_Season_D_0_MA_1,1,1,0,3,0,1,0,1635.86662391,1696.33507686,0.992848685349,5995.66912771,5919.82652205,5947.88489902,1659.42034278,1.77045427575
9,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_2_D_1_Season_Period_12_AR_6_Season_MA_4_Season_D_0_MA_1,2,1,12,6,4,1,0,1644.46796931,1735.17064873,0.992864436656,6029.34416723,5915.58025873,5957.66782419,1679.79854761,1.75954603414
10,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_4_D_1_Season_Period_12_AR_3_Season_MA_6_Season_D_0_MA_6,4,1,12,3,6,6,0,1650.31254228,1758.29192255,0.9938234177,6056.6052415,5921.1720171,5971.27626169,1692.37275455,1.75896077351
11,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_2_D_1_Season_Period_12_AR_0_Season_MA_5_Season_D_0_MA_4,2,1,12,0,5,4,0,1645.44602165,1727.51035065,0.997548996684,6047.61581393,5944.68656338,5982.76578927,1677.41178297,1.7789213484
12,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_2_D_0_Season_Period_2_AR_2_Season_MA_1_Season_D_0_MA_0,2,0,2,2,1,0,0,1638.10293364,1694.25221138,1.00348362549,6035.91428243,5965.48900574,5991.54321293,1659.97424402,1.79005764219
13,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_0_D_1_Season_Period_12_AR_3_Season_MA_5_Season_D_1_MA_1,0,1,12,3,5,1,1,1709.71008722,1791.77441622,1.0048375929,6129.29707172,6026.36782118,6064.44704706,1741.67584854,1.83563870487
14,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_0_D_1_Season_Period_6_AR_1_Season_MA_0_Season_D_0_MA_4,0,1,6,1,0,4,0,1640.19459279,1704.98222095,1.00564395664,6003.97504841,5922.71511377,5952.77766052,1665.43072015,1.77260598283
15,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_6_D_1_Season_Period_6_AR_2_Season_MA_1_Season_D_0_MA_4,6,1,6,2,1,4,0,1642.40986379,1715.83584236,1.00626020407,6009.30433767,5917.20974508,5951.2806314,1671.01080812,1.76686591477
16,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_3_D_1_Season_Period_6_AR_1_Season_MA_0_Season_D_0_MA_2,3,1,6,1,0,2,0,1637.44416226,1693.59344,1.0067972323,5990.14517717,5919.71990048,5945.77410767,1659.31547264,1.77270411478
17,/Users/cthorey/Documents/project/competition/fognet/models/ray/arima/model_0,Season_RA_5_D_1_Season_Period_0_AR_0_Season_MA_0_Season_D_0_MA_3,5,1,0,0,0,3,0,1637.47155848,1693.62083622,1.00735964548,6029.92497277,5959.49969608,5985.55390327,1659.34286886,1.79637699531
