,yield
2013-11-24 00:00:00,0.0
2013-11-24 02:00:00,0.0
2013-11-24 04:00:00,0.0
2013-11-24 06:00:00,0.0
2013-11-24 08:00:00,0.0
2013-11-24 10:00:00,0.0
2013-11-24 12:00:00,0.0
2013-11-24 14:00:00,0.0
2013-11-24 16:00:00,0.0
2013-11-24 18:00:00,0.0
2013-11-24 20:00:00,0.0
2013-11-24 22:00:00,0.0
2013-11-25 00:00:00,0.0
2013-11-25 02:00:00,0.0
2013-11-25 04:00:00,0.0
2013-11-25 06:00:00,0.0
2013-11-25 08:00:00,0.0
2013-11-25 10:00:00,0.0
2013-11-25 12:00:00,0.0
2013-11-25 14:00:00,0.0
2013-11-25 16:00:00,0.0
2013-11-25 18:00:00,0.0
2013-11-25 20:00:00,0.0
2013-11-25 22:00:00,0.0
2013-11-26 00:00:00,0.0
2013-11-26 02:00:00,0.0
2013-11-26 04:00:00,0.0
2013-11-26 06:00:00,0.0
2013-11-26 08:00:00,0.0
2013-11-26 10:00:00,0.0
2013-11-26 12:00:00,0.0
2013-11-26 14:00:00,0.0
2013-11-26 16:00:00,0.0
2013-11-26 18:00:00,0.0
2013-11-26 20:00:00,0.0
2013-11-26 22:00:00,0.0
2013-11-27 00:00:00,0.0
2013-11-27 02:00:00,0.0
2013-11-27 04:00:00,0.0
2013-11-27 06:00:00,0.0
2013-11-27 08:00:00,0.0
2013-11-27 10:00:00,0.0
2013-11-27 12:00:00,0.0
2013-11-27 14:00:00,0.0
2013-11-27 16:00:00,0.0
2013-11-27 18:00:00,0.0
2013-11-27 20:00:00,0.0
2013-11-27 22:00:00,0.0
2013-12-14 00:00:00,0.0
2013-12-14 02:00:00,0.0
2013-12-14 04:00:00,0.0
2013-12-14 06:00:00,0.0
2013-12-14 08:00:00,0.0
2013-12-14 10:00:00,0.0
2013-12-14 12:00:00,0.0
2013-12-14 14:00:00,0.0
2013-12-14 16:00:00,0.0
2013-12-14 18:00:00,0.0
2013-12-14 20:00:00,0.0
2013-12-14 22:00:00,0.0
2013-12-15 00:00:00,0.203250580449
2013-12-15 02:00:00,1.34891807245
2013-12-15 04:00:00,0.651035065926
2013-12-15 06:00:00,0.628428293289
2013-12-15 08:00:00,0.603037851616
2013-12-15 10:00:00,0.330391781509
2013-12-15 12:00:00,0.0
2013-12-15 14:00:00,0.0
2013-12-15 16:00:00,0.0
2013-12-15 18:00:00,0.0
2013-12-15 20:00:00,0.0
2013-12-15 22:00:00,0.0
2013-12-16 00:00:00,0.194966455241
2013-12-16 02:00:00,0.633656781235
2013-12-16 04:00:00,2.54666649039
2013-12-16 06:00:00,3.55836643875
2013-12-16 08:00:00,0.0
2013-12-16 10:00:00,5.48102001535
2013-12-16 12:00:00,9.29900687564
2013-12-16 14:00:00,8.42554102438
2013-12-16 16:00:00,5.335787444
2013-12-16 18:00:00,4.85744201871
2013-12-16 20:00:00,4.25148167636
2013-12-16 22:00:00,2.99445516105
2013-12-17 00:00:00,3.02331363203
2013-12-17 02:00:00,2.77881666594
2013-12-17 04:00:00,2.55945562058
2013-12-17 06:00:00,2.48478348755
2013-12-17 08:00:00,0.0
2013-12-17 10:00:00,0.0
2013-12-17 12:00:00,0.0
2013-12-17 14:00:00,0.0
2013-12-17 16:00:00,0.0
2013-12-17 18:00:00,2.50108110869
2013-12-17 20:00:00,0.434305246702
2013-12-17 22:00:00,2.59000288252
2014-01-03 00:00:00,0.0
2014-01-03 02:00:00,0.0
2014-01-03 04:00:00,0.0
2014-01-03 06:00:00,0.0
2014-01-03 08:00:00,0.0
2014-01-03 10:00:00,0.0
2014-01-03 12:00:00,0.0
2014-01-03 14:00:00,0.0
2014-01-03 16:00:00,0.0
2014-01-03 18:00:00,0.0401236548627
2014-01-03 20:00:00,0.184328520559
2014-01-03 22:00:00,0.0
2014-01-04 00:00:00,0.0
2014-01-04 02:00:00,0.0
2014-01-04 04:00:00,0.0
2014-01-04 06:00:00,0.0
2014-01-04 08:00:00,0.0
2014-01-04 10:00:00,0.0
2014-01-04 12:00:00,0.0
2014-01-04 14:00:00,0.0
2014-01-04 16:00:00,4.2852724149
